
NOTICE | wrapper  | 2016/04/07 21:42:32 | --------------------------------------------------------------------
NOTICE | wrapper  | 2016/04/07 21:42:32 | Thank you for your interest in the Java Service Wrapper.
NOTICE | wrapper  | 2016/04/07 21:42:32 | 
NOTICE | wrapper  | 2016/04/07 21:42:32 | You are running with a full featured trial License Key which will
NOTICE | wrapper  | 2016/04/07 21:42:32 | allow you to run or restart the Java Service Wrapper as many times
NOTICE | wrapper  | 2016/04/07 21:42:32 | as you like.  Each invocation of the Wrapper will shutdown
NOTICE | wrapper  | 2016/04/07 21:42:32 | automatically after 15 minutes.
NOTICE | wrapper  | 2016/04/07 21:42:32 | 
NOTICE | wrapper  | 2016/04/07 21:42:32 | This limited trial License Key is useful for quick configuration
NOTICE | wrapper  | 2016/04/07 21:42:32 | tests on various machines without the need to request a trial
NOTICE | wrapper  | 2016/04/07 21:42:32 | license.  If more time is required, you can also immediately obtain
NOTICE | wrapper  | 2016/04/07 21:42:32 | a one-month Free trial license:
NOTICE | wrapper  | 2016/04/07 21:42:32 |   http://wrapper.tanukisoftware.com/trial
NOTICE | wrapper  | 2016/04/07 21:42:32 | 
NOTICE | wrapper  | 2016/04/07 21:42:32 | The Java Service Wrapper requires a License Key to activate the
NOTICE | wrapper  | 2016/04/07 21:42:32 | software.  License Keys can be purchased on the Java Service Wrapper
NOTICE | wrapper  | 2016/04/07 21:42:32 | web site:
NOTICE | wrapper  | 2016/04/07 21:42:32 |   http://wrapper.tanukisoftware.com/purchase
NOTICE | wrapper  | 2016/04/07 21:42:32 | 
NOTICE | wrapper  | 2016/04/07 21:42:32 | This trial License Key in intended for testing and development and
NOTICE | wrapper  | 2016/04/07 21:42:32 | should not be used as part of a production environment.
NOTICE | wrapper  | 2016/04/07 21:42:32 | --------------------------------------------------------------------
NOTICE | wrapper  | 2016/04/07 21:42:32 | 
STATUS | wrapper  | 2016/04/07 21:42:32 | 
STATUS | wrapper  | 2016/04/07 21:42:32 | Launching a JVM...
INFO   | jvm 1    | 2016/04/07 21:42:32 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/04/07 21:42:33 | апр 07, 2016 9:42:33 PM com.devcolibri.logpack.OrderLogic doOrder
INFO   | jvm 1    | 2016/04/07 21:42:33 | CONFIG: Configuration done.
INFO   | jvm 1    | 2016/04/07 21:42:33 | Заказ оформлен!
INFO   | jvm 1    | 2016/04/07 21:42:33 | Товар добавлен в корзину
STATUS | wrapper  | 2016/04/07 21:42:35 | <-- Wrapper Stopped
STATUS | wrapper  | 2016/04/07 22:30:49 | --> Wrapper Started as Console
STATUS | wrapper  | 2016/04/07 22:30:49 | Java Service Wrapper Standard Edition 64-bit 3.5.29
STATUS | wrapper  | 2016/04/07 22:30:49 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
